English,article,French
thought,la,pensée
credit,le,crédit
hope,le,espoir
sign,le,signe
career,la,carrière
marriage,le,mariage
condition,la,condition
witness,le,témoin
technology,la,technologie
stage,la,scène
staff,le,personnel
arm,le,bras
mission,la,mission
art,le,art
actor,le,acteur
battle,la,bataille
top,le,haut
citizen,le,citoyen
author,le,auteur
reaction,la,réaction
gentleman,le,monsieur
leadership,la,direction
fear,la,peur
example,le,exemple
language,la,langue
need,la,nécessité
justice,la,justice
discussion,la,discussion
border,la,frontière
animal,le,animal
detail,le,détail
response,la,réaction
network,le,réseau
movement,le,mouvement
use,la,utilisation
male,le,mâle
capital,la,capitale
hearing,la,audience
standard,la,norme
benefit,le,avantage
table,la,table
treatment,le,traitement
agent,le,agent
card,la,carte
shot,le,tir
board,le,conseil
reality,la,réalité
sir,le,monsieur
land,la,terre
project,le,projet
light,la,lumière
image,la,image
century,le,siècle
page,la,page
success,le,succès
sound,le,son
impact,le,impact
pain,la,douleur
season,la,saison
individual,le,individu
sport,le,sport
studio,le,studio
decade,la,décennie
challenge,le,défi
dream,le,rêve
newspaper,le,journal
floor,le,plancher
fight,la,lutte
safety,la,sécurité
act,le,acte
trip,le,voyage
course,le,cours
possibility,la,possibilité
freedom,la,liberté
fund,le,fonds
seat,le,siège
bomb,la,bombe
form,la,forme
executive,le,exécutif
minister,le,ministre
deficit,le,déficit
development,le,développement
flight,le,vol
secretary,le,secrétaire
committee,le,comité
consumer,le,consommateur
rock,la,roche
figure,la,figure
subject,le,objet
culture,la,culture
hair,le,cheveux(p)
coverage,la,couverture
loss,la,perte
dad,le,papa
note,la,note
activity,la,activité
goal,le,objectif
option,la,option
gas,le,gaz
region,la,région
population,la,population
ability,la,capacité
resolution,la,résolution
employee,le,employé
brain,le,cerveau
politician,le,politicien
middle,le,milieu
storm,la,tempête
generation,la,génération
critic,le,critique
fan,le,ventilateur
scientist,le,scientifique
target,la,cible
camp,le,camp
afternoon,la,après-midi
direction,la,direction
science,la,science
journalist,le,journaliste
degree,le,degré
affair,la,affaire
damage,le,dommages(p)
strategy,la,stratégie
factor,le,facteur
factory,la,usine
democracy,la,démocratie
doubt,le,doute
solution,la,solution
spending,la,dépenses
training,la,formation
abuse,le,abus
danger,le,danger
environment,le,environnement
memory,la,mémoire
nature,la,nature
material,le,matériau
document,le,document
income,le,revenu
analyst,le,analyste
play,le,jeu
guard,la,garde
hotel,le,hôtel
editor,le,éditeur
missile,le,missile
accident,le,accident
purpose,le,but
writer,le,écrivain
emergency,la,situation d'urgence
growth,la,croissance
bed,le,lit
welfare,le,bien-être
adult,le,adulte
faith,la,foi
proposal,la,proposition
model,le,modèle
army,la,armée
incident,le,incident
box,la,boîte
crowd,la,foule
respect,le,respect
department,le,département
access,le,accès
date,la,date
chief,le,chef
weather,le,temps
airport,le,aéroport
machine,la,machine
window,la,fenêtre
agenda,le,ordre du jour
advice,le,conseils(p)
prosecution,la,poursuite
conflict,le,conflit
fall,la,chute
pilot,le,pilote
practice,la,pratique
track,la,piste
owner,le,propriétaire
increase,la,augmentation
legislation,la,législation
tree,le,arbre
debt,la,dette
enemy,le,ennemi
truck,le,camion
lead,la,tête
convention,la,convention
aid,la,aide
suicide,le,suicide
quality,la,qualité
conservative,le,conservateur
size,la,taille
account,le,compte
pleasure,le,plaisir
institution,la,institution
airline,la,compagnie aérienne
weight,le,poids
approach,la,approche
surgery,la,chirurgie
holiday,la,fête
start,le,début
victory,la,victoire
district,le,quartier
relation,la,relation
search,la,recherche
crew,le,équipage
panel,le,panneau
coalition,la,coalition
move,le,déménagement
package,le,emballage
check,le,chèque
minority,la,minorité
unit,la,unité
bag,le,sac
surprise,la,surprise
focus,la,mise au point
circumstance,la,circonstance
producer,le,producteur
investment,le,investissement
ball,la,balle
colleague,le,collègue
resource,la,ressource
judgment,le,jugement
background,le,arrière-plan
union,la,union
address,la,adresse
driver,le,conducteur
hero,le,héros
medicine,la,médecine
representative,le,représentant
vehicle,le,véhicule
commander,le,commandant
artist,le,artiste
mayor,le,maire
run,la,course
ship,le,navire
theory,la,théorie
screen,le,écran
lesson,la,leçon
resident,le,résident
partner,le,partenaire
bar,la,barre
ticket,le,billet
disaster,la,catastrophe
performance,la,performance
supporter,le,supporter
killer,le,tueur
negotiation,la,négociation
sea,la,mer
wind,le,vent
shoe,la,chaussure
secret,le,secret
tragedy,la,tragédie
gift,le,don
tour,la,tournée
manager,le,gestionnaire
band,la,bande
birth,la,naissance
host,le,hôte
loan,le,prêt
allegation,la,allégation
winner,le,gagnant
religion,la,religion
article,le,article
session,la,session
being,le,être
extent,la,mesure
contract,le,contrat
sentence,la,phrase
measure,la,mesure
deputy,le,vice-
confidence,la,confiance
hell,le,enfer
relief,le,relief
perspective,la,perspective
advantage,le,avantage
scandal,le,scandale
leg,la,jambe
restaurant,le,restaurant
dinner,le,dîner
client,le,client
failure,le,échec
quarter,le,trimestre
element,le,élément
claim,la,demande
property,la,propriété
version,la,version
attempt,la,tentative
bus,le,bus
customer,le,client
appeal,le,appel
pound,la,livre
protection,la,protection
gene,le,gène
stone,la,pierre
opposition,la,opposition
apartment,le,appartement
front,le,avant
female,la,femelle
prisoner,le,prisonnier
black,le,noir
gang,le,gang
principle,le,principe
ally,le,allié
adviser,le,conseiller
visit,la,visite
bird,le,oiseau
stand,le,support
communication,la,communication
boat,le,bateau
connection,la,connexion
key,la,clé
strike,la,grève
penalty,la,peine
warning,le,avertissement
luck,la,chance
dna,le,ADN
spirit,le,esprit
turn,le,tour
facility,la,installation
teenager,le,adolescent
commitment,le,engagement
item,le,article
procedure,la,procédure
half,la,moitié
tank,le,réservoir
telephone,le,téléphone
supply,la,offre
attitude,la,attitude
block,le,bloc
bond,le,lien
style,le,style
football,le,foot
fuel,le,carburant
data,la,données
glass,le,verre
suit,le,costume
strength,la,force
criticism,la,critique
ice,la,glace
equipment,le,équipement
promise,la,promesse
return,le,retour
album,le,album
production,la,production
corner,le,coin
consequence,la,conséquence
living,le,vivants
injury,la,blessure
cover,le,couvercle
spot,la,place
breast,la,poitrine
spring,le,printemps
controversy,la,controverse
destruction,la,destruction
aspect,le,aspect
club,le,club
aircraft,le,avion
firm,la,entreprise
regime,le,régime
competition,la,compétition
profit,le,bénéfice
knowledge,la,connaissance
spokesman,le,porte-parole
review,le,examen
understanding,la,compréhension
recession,la,récession
singer,le,chanteur
village,le,village
arrest,la,arrestation
snow,la,neige
joke,la,blague
gold,le,or
contact,le,contact
demand,la,demande
task,la,tâche
hole,le,trou
general,le,grand
skin,la,peau
count,le,décompte
opponent,le,adversaire
conclusion,la,conclusion
priority,la,priorité
rape,le,viol
refugee,le,réfugié
mountain,la,montagne
summit,le,sommet
bottom,le,fond
management,la,gestion
commission,la,commission
range,la,gamme
code,le,code
cash,le,argent
mouth,la,bouche
presence,la,présence
share,la,part
fashion,la,mode
shape,la,forme
chair,le,président
finger,le,doigt
fish,le,poisson
edition,la,édition
edge,le,bord
limit,la,limite
train,le,train
belief,la,croyance
balance,le,équilibre
exchange,le,échange
farm,la,ferme
zone,la,zone
passenger,le,passager
lie,le,mensonge
duty,le,devoir
traffic,le,trafic
horse,le,cheval
tradition,la,tradition
recovery,la,récupération
inspector,le,inspecteur
difficulty,la,difficulté
file,le,fichier
birthday,le,anniversaire
finance,la,finance
crash,le,crash
influence,la,influence
regulation,la,réglementation
analysis,la,nalyse
struggle,la,lutte
heat,la,chaleur
dress,la,robe
release,la,libération
winter,le,hiver
virus,le,virus
theme,le,thème
notion,la,notion
device,le,dispositif
anger,la,colère
english,le,Anglais
flag,le,drapeau
context,le,contexte
wing,la,aile
fighting,le,combats
pattern,le,motif
entertainment,la,animation
appearance,la,apparence
saving,la,économie
investor,le,investisseur
bridge,le,pont
settlement,le,règlement
rain,la,pluie
wood,le,bois
mail,le,e-mail
farmer,le,agriculteur
mystery,le,mystère
prayer,la,prière
vision,la,vision
depression,la,dépression
explosion,la,explosion
defendant,le,défendeur
structure,la,structure
amendment,le,amendement
assault,le,assaut
thinking,la,réflexion
therapy,la,thérapie
nurse,la,infirmière
path,le,trajet
funding,le,financement
tool,le,outil
title,le,titre
housing,le,boîtier
shop,la,boutique
complaint,la,plainte
wave,la,vague
cat,le,chat
map,la,carte
employer,le,employeur
proof,la,preuve
emotion,la,émotion
skill,la,compétence
trust,la,confiance
topic,le,sujet
personality,la,personnalité
hall,la,salle
cabinet,la,armoire
bone,le,os
soul,la,âme
chicken,le,poulet
location,le,emplacement
indication,la,indication
speaker,le,haut-parleur
wage,le,salaire
era,la,ère
request,la,demande
boss,le,patron
coach,le,entraîneur
estate,la,succession
sector,le,secteur
egg,le,œuf
stake,le,enjeu
stop,la,butée
ring,le,anneau
shock,le,choc
contribution,la,contribution
announcement,la,annonce
cigarette,la,cigarette
kitchen,la,cuisine
territory,le,territoire
command,la,commande
island,la,île
protest,la,protestation
impression,la,impression
fault,la,faute
coast,la,côte
reading,la,lecture
variety,la,variété
revenue,la,recettes(p)
bell,la,cloche
coffee,le,café
alcohol,le,alcool
lunch,le,déjeuner
expectation,la,attente
grade,la,note
diet,la,alimentation
section,la,section
ear,la,oreille
sky,le,ciel
assistance,la,aide
signal,le,signal
stress,la,contrainte
alternative,la,alternative
researcher,le,chercheur
cable,le,câble
opening,la,ouverture
beach,la,plage
volunteer,le,volontaire
burden,la,charge
detective,le,détective
toy,le,jouet
gain,le,gain
asset,le,actif
pool,la,piscine
trend,la,tendance
survey,la,enquête
planet,la,planète
river,la,rivière
identity,la,identité
ocean,le,océan
joy,la,joie
delay,le,retard
clinic,la,clinique
yard,la,cour
tip,la,pointe
divorce,le,divorce
sun,le,soleil
row,la,ligne
phrase,la,phrase
worth,la,valeur
collection,la,collection
occasion,la,occasion
surface,la,surface
tie,la,cravate
musician,le,musicien
concept,le,concept
tension,la,tension
outcome,le,résultat
approval,la,approbation
fellow,le,boursier
beauty,la,beauté
casualty,la,victime
copy,la,copie
mine,la,mine
watch,la,montre
sleep,le,sommeil
average,la,moyenne
travel,le,Voyage
fraud,la,fraude
category,la,catégorie
exercise,le,exercice
conviction,la,conviction
initiative,la,initiative
technique,la,technique
recording,le,enregistrement
sight,la,vue
reduction,la,réduction
whole,le,ensemble
corporation,la,société
passion,la,passion
funeral,la,funérailles
youth,le,jeunes(p)
instrument,le,instrument
distance,la,distance
desert,le,désert
anniversary,le,anniversaire
writing,le,écriture
invasion,la,invasion
compromise,le,compromis
illness,la,maladie
tear,la,déchirure
gate,la,porte
forest,la,forêt
experiment,la,'expérience
golf,le,parcours
talent,le,talent
post,le,poste
gap,le,écart
priest,le,prêtre
novel,le,roman
division,la,division
desire,le,désir
hat,le,chapeau
mortgage,la,hypothèque
reputation,la,réputation
score,le,score
shoulder,la,épaule
relative,le,parent
column,la,colonne
payment,le,paiement
transition,la,transition
award,le,prix
capability,la,capacité
definition,la,définition
pocket,la,poche
speed,la,vitesse
concert,le,concert
climate,le,climat
clue,le,indice
beer,la,bière
nose,le,nez
green,le,vert
garden,le,jardin
satellite,le,satellite
ceremony,la,cérémonie
human,le,humain
discovery,la,découverte
ride,le,trajet
root,la,racine
tea,le,thé
motion,le,mouvement
percentage,le,pourcentage
combination,la,combinaison
explanation,la,explication
scale,la,échelle
chain,la,chaîne
twin,le,jumeau
capacity,la,capacité
dealer,le,concessionnaire
touch,le,toucher
journey,le,voyage
delegate,le,délégué
link,le,lien
plastic,la,matière plastique
stimulus,le,stimulus
cap,le,bouchon
roll,le,rouleau
construction,la,construction
intention,la,intention
dispute,le,différend
mood,la,humeur
design,la,conception
childhood,la,enfance
engine,le,moteur
lifetime,la,durée de vie
nightmare,le,cauchemar
dance,la,danse
meal,le,repas
offer,la,offre
obligation,la,obligation
advance,la,avance
charity,le,organisme de bienfaisance
tourist,le,touriste
factory,la,usine
fat,la,graisse
salt,le,sel
neck,le,cou
bedroom,la,chambre à coucher
episode,le,épisode
engineer,le,ingénieur
punishment,la,punition
testing,le,tests
instance,la,instance
prospect,la,perspective
shopping,la,courses(p)
smoke,la,fumée
meat,la,viande
hold,la,cale
retirement,la,retraite
inflation,la,inflation
drama,le,drame
desk,le,bureau
salary,le,salaire
bible,la,bible
grant,la,subvention
demonstration,la,démonstration
dialogue,le,dialogue
substance,la,substance
core,le,noyau
treaty,le,traité
personnel,le,personnel
sample,le,échantillon
tactic,la,tactique
method,le,procédé
noise,le,bruit
objective,le,objectif
flower,la,fleur
cup,la,tasse
temperature,la,température
symbol,le,symbole
revolution,la,révolution
taste,le,goût
museum,le,musée
profile,le,profil
suggestion,la,suggestion
route,le,itinéraire
tooth,la,dent
consultant,le,consultant
drive,le,lecteur
disorder,le,trouble
sugar,le,sucre
rise,la,hausse
chip,la,puce
motive,le,motif
shirt,la,chemise
port,le,port
potential,le,potentiel
schedule,le,calendrier
parliament,le,parlement
contest,le,concours
atmosphere,la,atmosphère
branch,la,branche
estimate,la,estimation
symptom,le,symptôme
involvement,la,participation
discrimination,la,discrimination
heaven,le,ciel
walk,la,promenade
operator,le,opérateur
recommendation,la,recommandation
rebel,le,rebelle
round,la,ronde
maker,le,fabricant
wine,le,vin
remark,la,remarque
mess,le,désordre
tone,le,ton
resistance,la,résistance
importance,la,importance
exception,la,exception
platform,la,plate-forme
knife,le,couteau
perception,la,perception
fee,la,taxe
master,le,maître
circle,le,cercle
manner,la,manière
jet,le,jet
meaning,la,signification
assessment,la,évaluation
plate,la,plaque
expense,le,dépens(p)
plot,la,intrigue
classroom,la,salle de classe
brand,la,marque
painting,la,peinture
roof,le,toit
privilege,le,privilège
drink,la,boisson
ban,la,interdiction
content,le,contenu
chemical,le,produit chimique
french,le,français
inspection,la,inspection
incentive,la,incitation
piano,le,piano
bottle,la,bouteille
waste,le,déchets(p)
error,le,erreur
label,la,étiquette
clock,la,horloge
cream,la,crème
good,le,bons
phase,la,phase
philosophy,la,philosophie
conduct,la,conduite
cycle,le,cycle
electricity,la,électricité
bishop,le,évêque
reader,le,lecteur
pregnancy,la,grossesse
league,la,ligue
pet,le,animal
foundation,la,fondation
boom,le,boom
tower,la,tour
feature,la,fonction
withdrawal,le,retrait
breath,le,souffle
crack,la,fissure
manufacturer,le,fabricant
specialist,le,spécialiste
reference,la,référence
tale,la,histoire
provision,la,fourniture
historian,le,historien
wire,le,fil
speculation,la,spéculation
pair,la,paire
excuse,la,excuse
chocolate,le,chocolat
celebration,la,célébration
cheese,le,fromage
fortune,la,fortune
bathroom,la,salle de bain
function,la,fonction
universe,le,univers
channel,le,canal
smile,le,sourire
milk,le,lait
requirement,la,exigence
suspicion,le,soupçon
household,le,ménage
finding,la,constatation
chest,la,poitrine
routine,la,routine
consideration,le,examen
library,la,bibliothèque
harm,le,préjudice
margin,la,marge
object,le,objet
guitar,la,guitare
button,le,bouton
silence,le,silence
improvement,la,amélioration
drop,la,baisse
appointment,la,nomination
businessman,le,homme d'affaires
flow,le,flux
metal,le,métal
mirror,le,miroir
present,le,présent
carrier,le,support
expression,la,expression
fate,le,sort
cloud,le,nuage
muscle,le,muscle
belt,la,bande
chapter,le,chapitre
string,la,chaîne
trading,la,négociation
trick,la,astuce
guide,le,guide
volume,le,volume
match,le,match
fantasy,le,fantasme
knee,le,genou
compound,le,composé
stomach,le,estomac
height,la,hauteur
draft,le,projet
stranger,le,étranger
infection,la,infection
mass,la,masse
discipline,la,discipline
fruit,le,fruit
visitor,le,visiteur
poem,le,poème
phenomenon,le,phénomène
fence,la,clôture
application,la,application
recipe,la,recette
clothing,le,vêtements(p)
guilt,la,culpabilité
survival,la,survie
champion,le,champion
uniform,le,uniforme
print,la,impression
potato,la,pomme de terre
arrangement,le,arrangement
moon,la,lune
bear,le,ours
wound,la,plaie
stability,la,stabilité
pride,la,fierté
restriction,la,restriction
total,le,total
barrier,la,barrière
cousin,le,cousin
occupation,la,occupation
silver,le,argent
cake,le,gâteau
lung,le,poumon
wheel,la,roue
observer,le,observateur
tune,le,air
description,la,description
establishment,la,mise en place
chamber,la,chambre
horror,la,horreur
banking,le,secteur bancaire
apple,la,pomme
implication,la,implication
steel,le,acier
throat,la,gorge
essence,la,essence
raid,le,raid
distinction,la,distinction
german,le,allemand
lip,la,lèvre
timing,le,calendrier
insight,la,perspicacité
coup,le,coup d'Etat
shift,le,passage
policeman,le,policier
habit,la,habitude
sheet,la,feuille
offender,le,délinquant
midnight,le,minuit
execution,la,exécution
anxiety,la,angoisse
enterprise,la,entreprise
strip,la,bande
pop,la,pop
wonder,le,émerveillement
shadow,la,ombre
liberty,la,liberté
fiction,la,fiction
intervention,la,intervention
creation,la,création
marketing,la,commercialisation
christian,le,chrétien
pot,le,pot
fishing,la,pêche
breakfast,le,petit déjeuner
tube,le,tube
determination,la,détermination
sand,le,sable
permission,la,autorisation
guideline,la,ligne directrice
shame,la,honte
riot,la,émeute
user,le,utilisateur
organ,le,organe
resort,la,station
designer,le,concepteur
comparison,la,comparaison
employment,le,emploi
bread,le,pain
wish,le,souhait
lover,le,amant
jacket,la,veste
pass,la,passe
statute,la,loi
pace,le,rythme
frame,le,cadre
confusion,la,confusion
guarantee,la,garantie
commissioner,le,commissaire
flame,la,flamme
assumption,la,hypothèse
graduate,le,diplômé
entry,la,entrée
ward,la,salle
win,la,victoire
opera,le,opéra
friendship,la,amitié
exposure,la,exposition
pig,le,cochon
mate,le,second
nerve,le,nerf
length,la,longueur
cow,la,vache
pack,le,pack
instruction,la,instruction
collapse,le,effondrement
assistant,le,assistant
objection,la,objection
diary,le,agenda
scholar,le,savant
comfort,le,confort
preparation,la,préparation
province,la,province
passage,le,passage
crystal,le,cristal
gear,le,engrenage
stroke,la,course
decline,la,baisse
achievement,la,réalisation
existence,la,existence
alliance,la,alliance
profession,la,profession
delivery,la,fourniture
publisher,le,éditeur
sympathy,la,sympathie
dish,le,plat
worry,la,inquiétude
component,le,composant
adventure,la,aventure
crop,la,culture
blow,le,coup
sake,le,amour
sin,le,péché
pension,la,pension
garage,le,garage
radiation,le,rayonnement
juice,le,jus
setting,le,réglage
index,le,indice
vegetable,le,légume
partnership,le,partenariat
poetry,la,poésie
recognition,la,reconnaissance
self,le,moi
standing,le,statut
tissue,le,tissu
shell,la,coquille
captain,le,capitaine
grave,la,tombe
rank,le,rang
gender,le,sexe
shortage,la,pénurie
prize,le,prix
coat,le,manteau
seed,la,graine
rat,le,rat
soil,le,sol
shore,la,rive
defeat,la,défaite
notice,le,avis
boot,la,chaussure
chart,le,tableau
ministry,le,ministère
diamond,le,diamant
finish,la,finition
admission,la,admission
dark,la,obscurité
laboratory,le,laboratoire
professional,le,professionnel
reward,la,récompense
infant,le,nourrisson
text,le,texte
shower,la,douche
dose,la,dose
panic,la,panique
net,le,net
clerk,le,greffier
miner,le,mineur
delegation,la,délégation
imagination,la,imagination
unity,la,unité
uncle,le,oncle
ingredient,le,ingrédient
assignment,la,affectation
currency,la,monnaie
battery,la,batterie
tunnel,le,tunnel
resignation,la,démission
buyer,le,acheteur
bike,le,vélo
excitement,la,excitation
mouse,la,souris
alarm,la,alarme
poet,le,poète
landscape,le,paysage
selection,la,sélection
cry,le,cri
separation,la,séparation
display,le,affichage
disability,la,invalidité
counter,le,compteur
championship,le,championnat
butter,le,beurre
portrait,le,portrait
stick,le,bâton
engineering,la,ingénierie
myth,le,mythe
essay,le,essai
cold,le,froid
coal,le,charbon
contrast,le,contraste
observation,la,observation
tail,la,queue
mechanism,le,mécanisme
scheme,le,régime
presentation,la,présentation
angel,le,ange
bonus,le,bonus
possession,la,possession
learning,le,apprentissage
teaching,le,enseignement
deck,le,pont
creature,la,créature
running,le,fonctionnement
literature,la,littérature
weakness,la,faiblesse
blue,le,bleu
engagement,le,engagement
uncertainty,la,incertitude
inquiry,la,enquête
motivation,la,motivation
dust,la,poussière
peak,le,pic
instinct,le,instinct
needle,la,aiguille
leaf,la,feuille
launch,le,lancement
laugh,le,rire
leave,le,congé
grass,la,herbe
iron,le,fer
competitor,le,concurrent
complex,le,complexe
bean,la,fève
pole,le,pôle
vessel,le,récipient
subsidy,la,subvention
bid,la,offre
landing,le,atterrissage
pipe,le,tuyau
interpretation,la,interprétation
tournament,le,tournoi
hip,la,hanche
diagnosis,le,diagnostic
pitch,le,terrain
journal,la,revue
ceiling,le,plafond
export,la,exportation
awareness,la,prise de conscience
cross,la,croix
kiss,le,baiser
examination,le,examen
empire,le,empire
replacement,le,remplacement
duck,le,canard
formula,la,formule
devil,le,diable
limitation,la,limitation
compensation,la,compensation
invitation,la,invitation
declaration,la,déclaration
significance,la,importance
final,la,finale
premium,la,prime
ambulance,la,ambulance
carpet,le,tapis
temple,le,temple
constituent,le,constituant
concession,la,concession
consent,le,consentement
premise,la,prémisse
heritage,le,patrimoine
shelf,la,étagère
hint,la,astuce
rhythm,le,rythme
liability,le,passif
heel,le,talon
layer,la,couche
strain,la,souche
carbon,le,carbone
forum,le,forum
merit,le,mérite
youngster,le,jeune
transfer,le,transfert
distribution,la,distribution
expansion,la,expansion
depth,la,profondeur
blanket,le,blanchet
kingdom,le,royaume
mud,la,boue
arrival,la,arrivée
reflection,la,réflexion
envelope,la,enveloppe
reserve,la,réserve
hunting,la,chasse
furniture,le,meubles
gesture,le,geste
residence,la,résidence
ambition,la,ambition
nail,le,clou
spectrum,le,spectre
drawing,le,dessin
enthusiasm,le,enthousiasme
pen,le,stylo
preference,la,préférence
absence,la,absence
oxygen,le,oxygène
squad,la,équipe
pollution,la,pollution
lock,la,serrure
extension,la,extension
participant,le,participant
architect,le,architecte
bench,le,banc
rope,la,corde
aim,le,objectif
stream,le,flux
evolution,la,évolution
angle,le,angle
jurisdiction,la,compétence
charter,la,charte
ideology,la,idéologie
tide,la,marée
representation,la,représentation
identification,la,identification
concentration,la,concentration
norm,la,norme
spread,la,propagation
rival,le,rival
disappointment,la,déception
tribunal,le,tribunal
grain,le,grain
proportion,la,proportion
fool,le,fou
merger,la,fusion
loyalty,la,loyauté
publication,la,publication
participation,la,participation
escape,le,échappement
shareholder,la,actionnaire
constituency,la,circonscription
paint,la,peinture
toilet,la,toilette
ghost,le,fantôme
attraction,la,attraction
lion,le,lion
craft,le,métier
custom,la,coutume
cliff,la,falaise
palace,le,palais
grip,la,poignée
protein,la,protéine
accuracy,la,exactitude
theft,le,vol
widow,la,veuve
acceptance,la,acceptation
accent,le,accent
smell,le,odeur
departure,le,départ
membership,le,membres
expertise,la,expertise
repair,la,réparation
assembly,la,Assemblée
summary,le,résumé
logic,la,logique
boundary,la,limite
equivalent,le,équivalent
holder,le,titulaire
dimension,la,dimension
rail,le,rail
transaction,la,transaction
left,la,gauche
sequence,la,séquence
festival,le,festival
pit,la,fosse
horizon,le,horizon
